run	rc	selected_ip	request_id	record_id	duration_s	log
1	0	172.64.229.82	AD91AFB9-53A2-59D5-9756-DF2C42469E29	2045730228781382656	148	test_runs/set_20260419-053115/run_1.log
2	0	172.64.229.229	39892072-FD5A-5658-855C-3B90B8CA32D4	2045730228781382656	147	test_runs/set_20260419-053115/run_2.log
3	0	172.64.229.213	DD7EA292-F0EF-5E38-9F1E-D20A0C39F194	2045730228781382656	149	test_runs/set_20260419-053115/run_3.log
4	0	172.64.52.89	05E7064B-2488-53FE-A579-68F648EB20C1	2045730228781382656	143	test_runs/set_20260419-053115/run_4.log
5	0	172.64.229.59	04466D7E-786B-597B-ABD2-45A8D7F09C8E	2045730228781382656	148	test_runs/set_20260419-053115/run_5.log
6	0	172.64.52.71	F69EC7F7-6CB8-5416-A671-517F60F10F84	2045730228781382656	151	test_runs/set_20260419-053115/run_6.log
7	0	172.64.229.133	04ADD320-0567-5FBD-A200-50824B79818F	2045730228781382656	151	test_runs/set_20260419-053115/run_7.log
8	0	172.64.229.182	C1695F09-E137-574F-B17B-C9BBB0EA9714	2045730228781382656	149	test_runs/set_20260419-053115/run_8.log
9	0	172.64.229.78	55E8D2D7-F794-5515-ADBC-0EEB5B1144C0	2045730228781382656	146	test_runs/set_20260419-053115/run_9.log
10	0	162.159.38.218	2AFB518B-C387-581E-ACE3-5BAEF7677ACA	2045730228781382656	152	test_runs/set_20260419-053115/run_10.log
